accolade	アーコレード	あーこれーど	
eigenji	永源寺	えいげんじ	
ezo-nishiki	蝦夷錦	えぞにしき	
edo	江戸	えど	
edohigan-ichifusa-beni	江戸彼岸（市房紅）	えどひがん（いちふさべに）	
edohigan-ozakura	江戸彼岸（大桜）	えどひがん（おおざくら）	
edohigan-mukaino	江戸彼岸（向野）	えどひがん（むかいの）	
edohigan-yamataka-jindai-zakura	江戸彼岸（山高神代桜）	えどひがん（やまたかじんだいざくら）	
eregansu-miyuki	エレガンスみゆき	えれがんすみゆき	
entsuji-zakura	円通寺桜	えんつうじざくら	
oushusatozakura	奥州里桜	おうしゅうさとざくら	
ouchi-zakura	大内桜	おおうちざくら	
o-kanzakura	大寒桜	おおかんざくら	
okusa-kohigan	大草小彼岸	おおくさこひがん	
osawazakura	大沢桜	おおさわざくら	
oshimazakura	オオシマザクラ	おおしまざくら	
ota-zakura	太田桜	おおたざくら	
ojochin	大提灯	おおぢょうちん	
onadeshiko	大撫子	おおなでしこ	
onaden	大南殿	おおなでん	
ohara-nagisa	大原渚	おおはらなぎさ	
oharanagisa-isyu	大原渚異種	おおはらなぎさいしゅ	
ominezakura	大峰桜	おおみねざくら	
omurazakura	大村桜	おおむらざくら	
okame	オカメ	おかめ	
okuchoji-zakura	奥丁字桜	おくちょうじざくら	
oshidorizakura	鴛鴦桜	おしどりざくら	
oneyama-higan	小根山彼岸	おねやまひがん	
ofusa-zakura	お房桜	おふさざくら	
ominosato-buraizakura	麻績の里舞台桜	おみのさとぶたいざくら	
omuro-ariake	御室有明	おむろありあけ	
omoigawa	思川	おもいがわ	
omoidezakura	思伊出桜	おもいでざくら	思い出桜
kakegawa-zakura	掛川桜	かけがわざくら	
kasumizakura	カスミザクラ	かすみざくら	
kataoka-zakura	片丘桜	かたおかざくら	片岡桜
katsuura-hinazakura	勝浦雛桜	かつうらひなざくら	
kaba-sakura	蒲桜	かばざくら	
kamatari-zakura	鎌足桜	かまたりざくら	
kamiiso-ushiozakura	上磯海潮桜	かみいそうしおざくら	
kamiokazakura	神岡桜	かみおかざくら	
kamiyama-shidare-zakura	神山枝垂桜	かみやましだれざくら	
kawaduzakura	河津桜	かわづざくら	
kanzaki-ohshima	寒咲大島	かんざきおおしま	
kanzashi-zakura	簪桜	かんざしざくら	
kanzan	関山	かんざん	
campanuloides	カンパニュロイデス	かんぱにゅろいです	
kanhizakura	カンヒザクラ	かんひざくら	寒緋桜|緋寒桜|元日桜|台湾桜
kanhizakura-taiwan	カンヒザクラ（台湾産）	かんひざくら（たいわんさん）	
ganman-zakura	含満桜	がんまんざくら	
kikushidare	菊枝垂	きくしだれ	
kibune-uzu	貴船雲珠	きぶねうず	貴船渦
kirin	麒麟	きりん	
kinki-mamezakura	近畿豆桜	きんきまめざくら	
kinryu-zakura	金龍桜	きんりゅうざくら	
gioji-gijo-zakura	祇王寺祇女桜	ぎおうじぎじょざくら	
gyoikou	御衣黄	ぎょいこう	
gyosyo	暁鐘	ぎょうしょう	
kushima-zakura	玖島桜	くしまざくら	久島桜
kushiro-yae	釧路八重	くしろやえ	
kumagai	熊谷	くまがい	
kumagaizakura	熊谷桜	くまがいざくら	八重咲山彼岸
kumanozakura	クマノザクラ	くまのざくら	
kurama	クラマ	くらま	
kurama-uzu	鞍馬雲珠	くらまうず	
kurama-zakura	鞍馬桜（肥後吉野）	くらまざくら（ひごよしの）	
kurusaru	クルサル	くるさる	
kureha-otome-shidare	呉羽おとめ枝垂	くれはおとめしだれ	
keio-zakura	啓翁桜	けいおうざくら	
ketano-shirokikuzakura	気多の白菊桜	けたのしろきくざくら	
kechimyakuzakura	血脈桜原木	けちみゃくざくらげんぼく	
kemuriyama-beni-yamazakura	煙山紅山桜	けむりやまべにやまざくら	
kenrokuen-kikuzakura	兼六園菊桜	けんろくえんきくざくら	
kenrokuen-kumagai	兼六園熊谷	けんろくえんくまがい	
geba-zakura-ishu	下馬桜異種	げばざくらいしゅ	
koka	紅華	こうか	
kofuku	幸福	こうふく	
kokeshimizu	苔清水	こけしみず	
kokonoe	九重	ここのえ	
koshioyama	小汐山（小塩山）	こしおやま	小塩山
koshino-kamozakura	越の加茂桜	こしのかもざくら	
koshinohigan-kimurakabu	越の彼岸（木村株）	こしのひがん（きむらかぶ）	
koshinohigan_koshimuragenboku	越の彼岸（越村原木）	こしのひがん（こしむらげんぼく）	
koshino-fuyuzakura	越の冬桜	こしのふゆざくら	
kojonomai	湖上の舞	こじょうのまい	
kocho	胡蝶	こちょう	
kotohira	琴平	ことひら	
konohana-zakura	木の花桜	このはなざくら	
kobanayae-ohshima	小花八重大島	こばなやえおおしま	
kohigan	小彼岸	こひがん	
kobuku-zakura	子福桜	こぶくざくら	
komatsu-otome	小松乙女	こまつおとめ	
komatsunagi	駒繋	こまつなぎ	
komame-zakura	小豆桜	こまめざくら	
collingwood-ingram	コリングウッド イングラム	こりんぐうっどいんぐらむ	
conradinae-schmitii-semiplena	コンラディナエ × スミッティ セミプレナ	こんらでぃなえ×すみってぃせみぷれな	
